ID,user_id,confidence,predicted_intensity,community,district,prediction_time,indicator,indicator_description,time_observed,Target,forecast_length
ID_Jolim_12,27,0.3,0.66,Akropong ,atiwa_west,2025-06-03 11:15:02,wind,,,SMALLRAIN,12
ID_HpWWV_24,27,0.6,0.33,Akropong ,atiwa_west,2025-06-03 19:19:21,clouds,,,NORAIN,24
ID_GDjS0_12,27,0.6,0.66,Akropong ,atiwa_west,2025-06-04 05:47:41,wind,,,NORAIN,12
ID_eOc9L_24,27,0.6,1.0,Akropong ,atiwa_west,2025-06-04 18:53:37,wind,,,NORAIN,24
ID_9eWcL_12,22,0.6,0.0,Awenare,atiwa_west,2025-06-05 06:04:39,,,,NORAIN,12
ID_t7CCR_12,11,0.6,0.0,Tumfa ,atiwa_west,2025-06-05 06:06:57,,,,NORAIN,12
ID_0tiYe_12,27,0.6,0.66,Akropong ,atiwa_west,2025-06-05 06:07:55,dew,,,NORAIN,12
ID_5k0Qk_12,27,0.6,0.66,Akropong ,atiwa_west,2025-06-05 06:09:12,dew,,,NORAIN,12
ID_haKH6_12,8,0.6,0.66,mouso ,atiwa_west,2025-06-05 07:24:35,clouds,,,NORAIN,12
ID_EkGk3_12,8,0.6,1.0,mouso ,atiwa_west,2025-06-05 07:45:32,heat,,,NORAIN,12
ID_kgUCW_12,11,0.6,0.66,Tumfa ,atiwa_west,2025-06-05 08:15:37,sun,,,NORAIN,12
ID_q3zMM_12,8,0.6,0.66,mouso ,atiwa_west,2025-06-05 08:28:07,clouds,,,NORAIN,12
ID_oTKWa_12,8,0.6,0.66,mouso ,atiwa_west,2025-06-05 08:28:08,clouds,,,NORAIN,12
ID_diM5p_12,8,0.3,1.0,mouso ,atiwa_west,2025-06-05 08:49:55,sun,,,NORAIN,12
ID_VWCqf_24,7,0.6,0.0,Abomosu ,atiwa_west,2025-06-05 13:07:42,,,,NORAIN,24
ID_E6Tpz_24,42,0.6,0.0,Asamama,atiwa_west,2025-06-05 17:43:10,,,,NORAIN,24
ID_kjWnO_24,7,0.6,0.0,Abomosu ,atiwa_west,2025-06-05 17:50:21,,,,NORAIN,24
ID_VVBmn_24,22,1.0,1.0,Awenare,atiwa_west,2025-06-05 18:04:52,heat,,,NORAIN,24
ID_UUgKL_24,8,0.3,1.0,mouso ,atiwa_west,2025-06-05 18:16:29,sun,,,NORAIN,24
ID_YI17H_24,8,0.6,0.66,mouso ,atiwa_west,2025-06-05 18:16:30,heat,,,NORAIN,24
ID_a7H09_24,27,0.6,0.0,Akropong ,atiwa_west,2025-06-05 18:21:56,,,,NORAIN,24
ID_Ba82q_24,11,0.6,0.66,Tumfa ,atiwa_west,2025-06-05 18:35:28,sun,,,NORAIN,24
ID_mlDCF_24,11,0.3,0.66,Tumfa ,atiwa_west,2025-06-05 18:37:31,heat,,,NORAIN,24
ID_pmoAC_24,11,0.3,0.33,Tumfa ,atiwa_west,2025-06-05 18:38:33,sun,,,NORAIN,24
ID_QK6b7_24,42,0.6,0.0,Asamama,atiwa_west,2025-06-05 18:52:26,,,,NORAIN,24
ID_VydnG_12,42,0.3,0.66,Asamama,atiwa_west,2025-06-06 06:03:15,sun,,,NORAIN,12
ID_ccdUn_12,17,0.6,1.0,Kwabeng ,atiwa_west,2025-06-06 06:07:02,fog,,,NORAIN,12
ID_edv1F_12,27,0.6,0.66,Akropong ,atiwa_west,2025-06-06 06:14:14,clouds,,,NORAIN,12
ID_5y1dr_12,42,0.3,0.66,Asamama,atiwa_west,2025-06-06 07:06:33,sun,,,NORAIN,12
ID_UL2gH_12,26,0.6,0.0,Akropong,atiwa_west,2025-06-06 07:56:01,,,,NORAIN,12
ID_VH0gG_24,51,0.6,0.0,Foso Odumasi ,assin_fosu,2025-06-06 16:48:19,,,,NORAIN,24
ID_X0mbC_24,51,0.6,0.0,Foso Odumasi ,assin_fosu,2025-06-06 16:48:20,,,,NORAIN,24
ID_m31nh_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-06 17:55:05,clouds,,,MEDIUMRAIN,24
ID_HCTno_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-06 17:55:06,clouds,,,MEDIUMRAIN,24
ID_Bmyuz_24,27,0.3,0.0,Akropong ,atiwa_west,2025-06-06 18:45:30,,,,SMALLRAIN,24
ID_CzH7m_24,27,0.3,0.0,Akropong ,atiwa_west,2025-06-06 18:45:33,,,,SMALLRAIN,24
ID_9wTkb_24,27,0.3,0.0,Akropong ,atiwa_west,2025-06-06 18:45:35,,,,SMALLRAIN,24
ID_A12cP_24,7,0.6,0.0,Abomosu ,atiwa_west,2025-06-06 18:50:50,,,,MEDIUMRAIN,24
ID_eY5Dt_24,42,0.6,0.66,Asamama,atiwa_west,2025-06-06 18:54:54,clouds,,,HEAVYRAIN,24
ID_Glilx_24,7,0.6,0.0,Abomosu ,atiwa_west,2025-06-06 18:59:50,,,,MEDIUMRAIN,24
ID_PtFhY_24,11,0.6,0.33,Tumfa ,atiwa_west,2025-06-06 19:05:30,clouds,,,MEDIUMRAIN,24
ID_l2IZJ_24,51,0.6,0.0,Foso Odumasi ,assin_fosu,2025-06-06 19:39:22,,,,NORAIN,24
ID_zFp0s_12,27,0.6,0.33,Akropong ,atiwa_west,2025-06-07 05:58:02,clouds,,,SMALLRAIN,12
ID_iRdA6_12,27,0.6,0.33,Akropong ,atiwa_west,2025-06-07 05:58:03,clouds,,,SMALLRAIN,12
ID_BVp58_12,27,0.6,0.66,Akropong ,atiwa_west,2025-06-07 05:59:20,wind,,,SMALLRAIN,12
ID_8cMxa_12,45,1.0,0.0,Amonom ,atiwa_west,2025-06-07 06:11:01,,,,SMALLRAIN,12
ID_IVU7C_12,45,1.0,0.0,Amonom ,atiwa_west,2025-06-07 06:11:02,,,,SMALLRAIN,12
ID_XbCms_12,45,0.3,0.33,Amonom ,atiwa_west,2025-06-07 06:11:05,clouds,,,SMALLRAIN,12
ID_xRDi1_12,42,0.6,1.0,Asamama,atiwa_west,2025-06-07 06:19:46,clouds,,,HEAVYRAIN,12
ID_xyJYg_12,11,0.3,0.66,Tumfa ,atiwa_west,2025-06-07 06:37:40,sun,,,SMALLRAIN,12
ID_sfL9s_12,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 07:07:01,sun,,,SMALLRAIN,12
ID_wEWm4_12,9,0.6,0.66,Kwabeng ,atiwa_west,2025-06-07 07:07:40,clouds,,,MEDIUMRAIN,12
ID_iBdbR_12,8,0.3,1.0,mouso ,atiwa_west,2025-06-07 07:53:23,heat,,,NORAIN,12
ID_7grRE_12,8,0.3,1.0,mouso ,atiwa_west,2025-06-07 07:53:24,heat,,,NORAIN,12
ID_VWiwU_12,8,0.6,0.66,mouso ,atiwa_west,2025-06-07 07:54:27,clouds,,,NORAIN,12
ID_iXNbp_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-07 08:16:46,clouds,,,MEDIUMRAIN,12
ID_0f3lC_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-07 08:16:47,clouds,,,MEDIUMRAIN,12
ID_wW4eR_12,22,0.6,0.0,Awenare,atiwa_west,2025-06-07 10:45:28,,,,NORAIN,12
ID_x8gt1_12,22,0.6,0.0,Awenare,atiwa_west,2025-06-07 10:45:29,,,,NORAIN,12
ID_BrM51_12,22,0.6,0.0,Awenare,atiwa_west,2025-06-07 10:45:30,,,,NORAIN,12
ID_Q8RNC_24,8,0.3,1.0,mouso ,atiwa_west,2025-06-07 15:08:04,heat,,,NORAIN,24
ID_TP6Re_24,8,0.3,1.0,mouso ,atiwa_west,2025-06-07 15:08:05,heat,,,NORAIN,24
ID_vvW74_24,42,1.0,1.0,Asamama,atiwa_west,2025-06-07 16:14:47,wind,,,NORAIN,24
ID_2uBNP_24,9,0.6,0.33,Kwabeng ,atiwa_west,2025-06-07 16:55:40,clouds,,,NORAIN,24
ID_CLaQO_24,8,0.6,0.66,mouso ,atiwa_west,2025-06-07 17:06:31,clouds,,,NORAIN,24
ID_Hkxv7_24,22,0.6,0.0,Awenare,atiwa_west,2025-06-07 17:08:27,,,,NORAIN,24
ID_Vpvm3_24,22,0.6,0.0,Awenare,atiwa_west,2025-06-07 17:09:23,,,,NORAIN,24
ID_nbKT5_24,27,0.6,0.0,Akropong ,atiwa_west,2025-06-07 17:51:56,,,,NORAIN,24
ID_XmLvc_24,42,1.0,1.0,Asamama,atiwa_west,2025-06-07 17:52:16,wind,,,NORAIN,24
ID_H1ZWX_24,23,0.3,0.33,Asamama,atiwa_west,2025-06-07 17:54:23,sun,,,NORAIN,24
ID_cldXC_24,23,0.3,0.33,Asamama,atiwa_west,2025-06-07 17:56:02,sun,,,NORAIN,24
ID_tzpso_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 17:57:02,clouds,,,NORAIN,24
ID_Sah22_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 18:00:58,clouds,,,NORAIN,24
ID_iwph8_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 18:01:01,clouds,,,NORAIN,24
ID_HE4Fy_24,26,1.0,0.0,Akropong,atiwa_west,2025-06-07 18:01:03,,,,NORAIN,24
ID_q8JIW_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 18:01:11,wind,,,NORAIN,24
ID_PLOhJ_24,26,1.0,0.0,Akropong,atiwa_west,2025-06-07 18:01:20,,,,NORAIN,24
ID_AI3M9_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-07 18:01:26,,,,NORAIN,24
ID_4m8Na_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-07 18:01:36,,,,NORAIN,24
ID_15L0w_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-07 18:01:48,,,,NORAIN,24
ID_ik8Bp_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 18:02:01,sun,,,NORAIN,24
ID_i5n6t_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-07 18:02:08,clouds,,,NORAIN,24
ID_kHhrH_24,11,0.6,0.33,Tumfa ,atiwa_west,2025-06-07 18:40:00,clouds,,,NORAIN,24
ID_96PGu_12,27,0.6,0.33,Akropong ,atiwa_west,2025-06-08 06:04:38,wind,,,NORAIN,12
ID_W7wGa_12,26,0.6,0.33,Akropong,atiwa_west,2025-06-08 07:04:00,sun,,,NORAIN,12
ID_vRhVR_12,9,0.6,0.0,Kwabeng ,atiwa_west,2025-06-08 07:14:38,,,,NORAIN,12
ID_TwGkH_12,17,0.6,0.66,Kwabeng ,atiwa_west,2025-06-08 07:31:38,clouds,,,NORAIN,12
ID_52Pri_12,17,1.0,1.0,Kwabeng ,atiwa_west,2025-06-08 07:31:39,clouds,,,NORAIN,12
ID_v7c21_12,17,1.0,0.66,Kwabeng ,atiwa_west,2025-06-08 07:33:12,clouds,,,NORAIN,12
ID_6ncXX_12,8,0.6,1.0,mouso ,atiwa_west,2025-06-08 08:21:45,clouds,,,NORAIN,12
ID_DgZpA_12,22,1.0,0.0,Awenare,atiwa_west,2025-06-08 09:53:36,,,,NORAIN,12
ID_UYl2g_12,22,1.0,0.0,Awenare,atiwa_west,2025-06-08 09:53:37,,,,NORAIN,12
ID_xVa4s_24,8,0.6,1.0,mouso ,atiwa_west,2025-06-08 17:32:31,clouds,,,NORAIN,24
ID_nYuyr_24,8,0.6,1.0,mouso ,atiwa_west,2025-06-08 17:32:32,clouds,,,NORAIN,24
ID_auFJt_24,8,0.6,1.0,mouso ,atiwa_west,2025-06-08 17:33:26,sun,,,NORAIN,24
ID_lG8mg_24,8,0.6,0.33,mouso ,atiwa_west,2025-06-08 17:35:05,star,,,NORAIN,24
ID_oYmSe_24,17,0.6,0.66,Kwabeng ,atiwa_west,2025-06-08 18:06:02,heat,,,NORAIN,24
ID_xu07s_24,27,0.6,0.33,Akropong ,atiwa_west,2025-06-08 18:06:09,wind,,,NORAIN,24
ID_sGxpe_24,27,0.6,0.33,Akropong ,atiwa_west,2025-06-08 18:06:10,wind,,,NORAIN,24
ID_HecN2_24,27,0.6,0.0,Akropong ,atiwa_west,2025-06-08 18:06:56,,,,NORAIN,24
ID_r8SPi_24,22,0.6,0.33,Awenare,atiwa_west,2025-06-08 18:29:10,heat,,,NORAIN,24
ID_s4gmO_24,26,0.3,0.66,Akropong,atiwa_west,2025-06-08 18:36:15,clouds,,,NORAIN,24
ID_1FaOP_24,9,0.6,0.0,Kwabeng ,atiwa_west,2025-06-08 18:38:02,,,,NORAIN,24
ID_sXInJ_24,22,0.6,0.33,Awenare,atiwa_west,2025-06-08 19:20:03,heat,,,NORAIN,24
ID_7fRai_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-08 20:38:56,,,,NORAIN,24
ID_9Q5xV_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-08 20:38:57,,,,NORAIN,24
ID_7d7S3_24,46,1.0,0.0,Asunafo ,atiwa_west,2025-06-08 21:07:26,,,,NORAIN,24
ID_6lUac_24,46,1.0,0.0,Asunafo ,atiwa_west,2025-06-08 21:09:23,,,,NORAIN,24
ID_fI2OT_12,59,0.3,0.0,Apampatia ,atiwa_west,2025-06-09 05:43:58,,,,NORAIN,12
ID_qDI6x_12,27,0.3,0.33,Akropong ,atiwa_west,2025-06-09 06:48:25,clouds,,,NORAIN,12
ID_kedp3_12,46,1.0,0.0,Asunafo ,atiwa_west,2025-06-09 07:50:09,,,,NORAIN,12
ID_3PdyK_12,46,1.0,0.0,Asunafo ,atiwa_west,2025-06-09 07:50:10,,,,NORAIN,12
ID_VJGyO_12,46,1.0,0.0,Asunafo ,atiwa_west,2025-06-09 07:50:11,,,,NORAIN,12
ID_5r97O_24,19,0.3,0.66,Akropong ,atiwa_west,2025-06-09 14:20:15,clouds,,,NORAIN,24
ID_xOiGm_24,19,0.3,0.66,Akropong ,atiwa_west,2025-06-09 14:20:16,clouds,,,NORAIN,24
ID_FLyuI_24,19,0.3,0.66,Akropong ,atiwa_west,2025-06-09 14:20:17,clouds,,,NORAIN,24
ID_ycyAa_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-09 17:07:12,,,,NORAIN,24
ID_4V7kK_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-09 17:07:13,,,,NORAIN,24
ID_N6wow_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-09 17:07:14,,,,NORAIN,24
ID_gQ384_24,53,0.3,0.0,Tumfa,atiwa_west,2025-06-09 17:40:45,,,,SMALLRAIN,24
ID_MFC5H_24,53,0.3,0.0,Tumfa,atiwa_west,2025-06-09 17:40:46,,,,SMALLRAIN,24
ID_3ytda_24,53,0.6,0.66,Tumfa,atiwa_west,2025-06-09 17:40:47,sun,,,SMALLRAIN,24
ID_zwOf6_24,53,0.6,0.66,Tumfa,atiwa_west,2025-06-09 17:40:48,star,,,SMALLRAIN,24
ID_Z0NRA_24,53,0.3,0.0,Tumfa,atiwa_west,2025-06-09 17:40:49,,,,SMALLRAIN,24
ID_EgusJ_24,53,0.3,0.0,Tumfa,atiwa_west,2025-06-09 17:41:21,,,,SMALLRAIN,24
ID_MQ3Az_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-09 18:08:10,,,,NORAIN,24
ID_2MDFM_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-09 18:08:11,,,,NORAIN,24
ID_3hbCk_24,9,1.0,0.0,Kwabeng ,atiwa_west,2025-06-09 18:20:49,,,,NORAIN,24
ID_qubD9_24,9,1.0,0.0,Kwabeng ,atiwa_west,2025-06-09 18:20:50,,,,NORAIN,24
ID_IyU22_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-09 19:40:19,clouds,,,NORAIN,24
ID_qWl0Y_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-09 19:40:20,clouds,,,NORAIN,24
ID_CoVni_12,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 06:17:36,clouds,,,NORAIN,12
ID_RiL2b_12,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 06:17:37,clouds,,,NORAIN,12
ID_ByT8K_12,27,0.3,0.66,Akropong ,atiwa_west,2025-06-10 06:17:50,wind,,,NORAIN,12
ID_tXszL_12,9,0.6,0.0,Kwabeng ,atiwa_west,2025-06-10 06:49:56,,,,NORAIN,12
ID_U0D0I_12,26,0.6,0.0,Akropong,atiwa_west,2025-06-10 07:05:23,,,,NORAIN,12
ID_Y1lJ1_12,26,0.6,0.0,Akropong,atiwa_west,2025-06-10 07:05:24,,,,NORAIN,12
ID_Xr8EQ_12,26,0.6,0.33,Akropong,atiwa_west,2025-06-10 07:07:07,clouds,,,NORAIN,12
ID_pKKjT_12,8,0.6,1.0,mouso ,atiwa_west,2025-06-10 08:14:50,sun,,,SMALLRAIN,12
ID_LnDDW_12,53,0.3,0.0,Tumfa,atiwa_west,2025-06-10 08:40:58,,,,SMALLRAIN,12
ID_s2dYS_12,53,0.3,0.0,Tumfa,atiwa_west,2025-06-10 08:40:59,,,,SMALLRAIN,12
ID_9yPwY_12,53,0.3,0.0,Tumfa,atiwa_west,2025-06-10 08:41:00,,,,SMALLRAIN,12
ID_t44Jv_12,22,0.6,0.33,Awenare,atiwa_west,2025-06-10 09:28:47,sun,,,NORAIN,12
ID_h8A0k_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-10 15:10:06,,,,MEDIUMRAIN,24
ID_QzWHu_24,45,1.0,0.0,Amonom ,atiwa_west,2025-06-10 15:10:07,,,,MEDIUMRAIN,24
ID_Qlym5_24,45,0.6,0.66,Amonom ,atiwa_west,2025-06-10 15:10:08,clouds,,,MEDIUMRAIN,24
ID_M8V9k_24,9,0.6,0.0,Kwabeng ,atiwa_west,2025-06-10 15:54:42,,,,SMALLRAIN,24
ID_FDTBC_24,9,0.6,0.0,Kwabeng ,atiwa_west,2025-06-10 15:54:43,,,,SMALLRAIN,24
ID_NpWoE_24,9,1.0,0.66,Kwabeng ,atiwa_west,2025-06-10 15:54:44,clouds,,,SMALLRAIN,24
ID_BsURj_24,9,0.6,0.0,Kwabeng ,atiwa_west,2025-06-10 15:54:45,,,,SMALLRAIN,24
ID_aEkkN_24,8,0.6,1.0,mouso ,atiwa_west,2025-06-10 17:00:49,sun,,,SMALLRAIN,24
ID_VAJMG_24,8,0.6,1.0,mouso ,atiwa_west,2025-06-10 17:50:03,clouds,,,SMALLRAIN,24
ID_dBOeN_24,53,0.6,0.66,Tumfa,atiwa_west,2025-06-10 17:52:20,sun,,,NORAIN,24
ID_itQk4_24,47,0.6,0.0,Foso Odumasi ,assin_fosu,2025-06-10 18:06:44,,,,NORAIN,24
ID_hZKpa_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 18:09:52,clouds,,,NORAIN,24
ID_FYsZY_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 18:09:53,clouds,,,NORAIN,24
ID_Zk6ek_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 18:09:54,clouds,,,NORAIN,24
ID_R5xO5_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 18:09:55,clouds,,,NORAIN,24
ID_j896i_24,27,0.3,0.33,Akropong ,atiwa_west,2025-06-10 18:09:56,clouds,,,NORAIN,24
ID_LJTZ9_24,27,0.6,0.33,Akropong ,atiwa_west,2025-06-10 18:11:11,clouds,,,NORAIN,24
ID_h7cHD_24,22,0.6,0.33,Awenare,atiwa_west,2025-06-10 18:20:27,sun,,,NORAIN,24
ID_q9EYK_24,22,0.6,0.33,Awenare,atiwa_west,2025-06-10 18:20:28,sun,,,NORAIN,24
ID_tO9mZ_24,22,0.6,0.33,Awenare,atiwa_west,2025-06-10 18:23:19,clouds,,,NORAIN,24
ID_UKbSF_24,9,1.0,0.0,Kwabeng ,atiwa_west,2025-06-10 18:50:22,,,,SMALLRAIN,24
ID_3aPut_24,19,0.6,0.66,Akropong ,atiwa_west,2025-06-10 18:56:05,sun,,,SMALLRAIN,24
ID_zqShW_24,19,0.6,0.66,Akropong ,atiwa_west,2025-06-10 18:56:06,sun,,,SMALLRAIN,24
ID_TOoyq_24,19,0.6,0.66,Akropong ,atiwa_west,2025-06-10 18:56:07,sun,,,SMALLRAIN,24
ID_yzRiv_24,19,0.6,0.66,Akropong ,atiwa_west,2025-06-10 18:56:09,sun,,,SMALLRAIN,24
ID_bUlYP_24,47,0.6,0.33,Foso Odumasi ,assin_fosu,2025-06-10 19:29:03,clouds,,,NORAIN,24
ID_VATLI_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-10 22:21:12,,,,MEDIUMRAIN,24
ID_xKz9E_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-10 22:21:13,,,,MEDIUMRAIN,24
ID_q08oO_24,26,1.0,0.0,Akropong,atiwa_west,2025-06-10 22:22:48,,,,MEDIUMRAIN,24
ID_ZBdhz_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-11 04:43:45,heat,,,MEDIUMRAIN,12
ID_VG1O4_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-11 04:43:46,heat,,,MEDIUMRAIN,12
ID_G7fQg_12,27,0.6,0.33,Akropong ,atiwa_west,2025-06-11 06:27:44,clouds,,,NORAIN,12
ID_QBaxx_12,26,0.6,0.0,Akropong,atiwa_west,2025-06-11 06:44:00,,,,MEDIUMRAIN,12
ID_wkoEd_12,26,0.6,0.0,Akropong,atiwa_west,2025-06-11 06:44:01,,,,MEDIUMRAIN,12
ID_Ilnwb_12,47,0.6,0.33,FOSO ODUMASI ,assin_fosu,2025-06-11 06:45:25,fog,,,NORAIN,12
ID_YadIC_12,47,0.6,0.33,FOSO ODUMASI ,assin_fosu,2025-06-11 06:45:26,clouds,,,NORAIN,12
ID_T0WZn_12,47,0.6,0.66,FOSO ODUMASI ,assin_fosu,2025-06-11 06:48:43,clouds,,,NORAIN,12
ID_HHUcu_12,26,0.6,0.66,Akropong,atiwa_west,2025-06-11 06:49:20,clouds,,,MEDIUMRAIN,12
ID_Q0oBR_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-11 07:24:33,heat,,,MEDIUMRAIN,12
ID_JiceW_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-11 07:24:34,heat,,,MEDIUMRAIN,12
ID_ICvV9_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-11 07:24:40,heat,,,MEDIUMRAIN,12
ID_IejVh_12,7,0.3,0.66,Abomosu ,atiwa_west,2025-06-11 07:24:43,heat,,,MEDIUMRAIN,12
ID_zp9mf_12,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 08:00:40,,,,NORAIN,12
ID_thkM3_12,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 08:00:41,,,,NORAIN,12
ID_cjen2_12,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 08:00:42,,,,NORAIN,12
ID_pUMqc_12,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 08:00:43,,,,NORAIN,12
ID_574bc_12,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 08:00:44,,,,NORAIN,12
ID_oMoT7_12,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 08:00:45,,,,NORAIN,12
ID_pIxMi_12,30,0.3,1.0,asunafo,atiwa_west,2025-06-11 11:51:50,heat,,,NORAIN,12
ID_dj89t_12,30,0.3,1.0,asunafo,atiwa_west,2025-06-11 11:51:51,heat,,,NORAIN,12
ID_ISW6w_12,30,0.6,1.0,asunafo,atiwa_west,2025-06-11 11:51:56,thunder,,,NORAIN,12
ID_bcZvU_12,30,0.3,0.33,asunafo,atiwa_west,2025-06-11 11:51:58,dew,,,NORAIN,12
ID_KdXV1_24,9,1.0,0.0,Kwabeng ,atiwa_west,2025-06-11 14:43:23,,,,SMALLRAIN,24
ID_PkoaV_24,9,1.0,0.0,Kwabeng ,atiwa_west,2025-06-11 14:43:24,,,,SMALLRAIN,24
ID_9b8IE_24,9,1.0,0.0,Kwabeng ,atiwa_west,2025-06-11 14:43:25,,,,SMALLRAIN,24
ID_FzRfH_24,9,1.0,0.66,Kwabeng ,atiwa_west,2025-06-11 14:43:40,clouds,,,SMALLRAIN,24
ID_qcYFM_24,9,1.0,0.66,Kwabeng ,atiwa_west,2025-06-11 14:43:41,clouds,,,SMALLRAIN,24
ID_zcRyJ_24,9,0.3,0.33,Kwabeng ,atiwa_west,2025-06-11 14:43:57,clouds,,,SMALLRAIN,24
ID_dKw9V_24,26,0.6,1.0,Akropong,atiwa_west,2025-06-11 15:51:06,clouds,,,NORAIN,24
ID_eTiYh_24,26,0.6,0.0,Akropong,atiwa_west,2025-06-11 15:51:07,,,,NORAIN,24
ID_5amXd_24,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 16:45:58,,,,MEDIUMRAIN,24
ID_Ylx3G_24,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 16:45:59,,,,MEDIUMRAIN,24
ID_lOByj_24,23,0.3,0.0,Asamama,atiwa_west,2025-06-11 16:46:00,,,,MEDIUMRAIN,24
